Sources of water supply for your community,"If you don't get water from tankers, what do you rely on for water needs?",How much do you pay for a single tanker of water?,What is the capacity of the tanker in litres?,Your area Pincode,Type of Community,Frequency of purchase of private water tanker,How many private tankers do you get per month on average?,Number of units in the community,Do you have water rationing?,Do you use treated STP water for flushing/gardening? ,What is your community's monthly expense on water?,Number of dry days in the past year?,Have you been ordering private water tankers more often in the last three months? ,Has the supply of water from BWSSB changed during the last one year (both in terms of frequency as well as quantity)? ,How much were you paying for the same tanker of water a year back (Feb 2023)?,How often does your water tanker vendor raise rates?
"BWSSB/Municipal/Cauvery Water, Borewell",,1500,6000,560005,Apartments,Only for Emergency,1,120,No,,75000,20,Not ordered private tankers in last 3 months,No change,,Annually
"Private water tankers, Borewell",,1000,5000,560016,Apartments,Daily,90,30,No,,70000,0,More often,NA - No BWSSB supply,350,Every quarter
"Private water tankers, BWSSB/Municipal/Cauvery Water, Borewell, STP treated water",,1200,13000,560022,Apartments,Weekly,8,120,No,,35000,0,More often,No change,1200,Annually
"Private water tankers, BWSSB/Municipal/Cauvery Water, Borewell, STP treated water",,500,6000,560023,Apartments,Daily,350,356,No,,175000,Nil,More often,Reduced,400,Annually
"Private water tankers, BWSSB/Municipal/Cauvery Water, Borewell, STP treated water",,800,6000,560023,Apartments,Daily,600,703,No,,800000,2,More often,No change,550,Every 6 months
"Private water tankers, BWSSB/Municipal/Cauvery Water, Borewell, STP treated water",,800,6000,560023,Apartments,Daily,150,567,No,,200000,None,More often,Reduced,600,Annually
"Private water tankers, BWSSB/Municipal/Cauvery Water, Borewell",,900,6000,560026,Apartments,Daily,45,32,No,,41000,60,More often,Reduced,800,Every 6 months
"Private water tankers, BWSSB/Municipal/Cauvery Water, Borewell",,1500,6000,560029,Individual Houses,Weekly,5,7,Yes,,5000,,More often,Reduced,700,Every 6 months
"Private water tankers, BWSSB/Municipal/Cauvery Water, STP treated water",,700,6000,560030,Apartments,Daily,55,83,Yes,,70000,0,More often,No change,70,Annually
"BWSSB/Municipal/Cauvery Water, Borewell",,800,6000,560034,Apartments,Only for Emergency,1,819,No,,500000,1,Past 2 years not ordered ,No change,600,Annually
"BWSSB/Municipal/Cauvery Water, Borewell",,700,6000,560034,Apartments,Only for Emergency,20,125,No,,88000,No,Not ordered private tankers in last 3 months,No change,600,Annually
"Private water tankers, Borewell, STP treated water",,1400,12000,560035,Villas,Daily,3,108,No,,200000,None so far,More often,NA - No BWSSB supply,1300,Once in two years
"Private water tankers, Borewell",,1600,12000,560035,Apartments,Daily,44,60,No,,70000,12,More often,NA - No BWSSB supply,1400,Annually
"Private water tankers, STP treated water",,1400,12000,560035,Apartments,Daily,15,387,No,,650000,None,"Always, daily for last 15 years",NA - No BWSSB supply,1400,We revised in Nov 2018
"Private water tankers, STP treated water",,1200,12000,560035,Apartments,Daily,80,65,No,,95000,0,No noticeable change,NA - No BWSSB supply,,Annually
"Private water tankers, Borewell",,850,6000,560035,Apartments,Daily,2,30,Yes,,100000,10,No noticeable change,NA - No BWSSB supply,750,Annually
Private water tankers,,950,6000,560035,Apartments,Daily,30,30,Yes,,27000,3,More often,NA - No BWSSB supply,900,Annually
"Private water tankers, Borewell",,1500,12000,560035,Apartments,Daily,35,30,No,,55000,0,More often,NA - No BWSSB supply,1500,Annually
"Private water tankers, Borewell, STP treated water",,1800,6000,560035,Apartments,Daily,2,115,No,,27000,Nil,Less often,NA - No BWSSB supply,,Annually
"Private water tankers, Borewell",,1370,12000,560035,Apartments,Daily,230,350,No,,300000,0,Daily besis,NA - No BWSSB supply,,Not decided....no contract.
"Private water tankers, Borewell, STP treated water, Rain water harvesting",,1600,12000,560035,Apartments,Daily,210,200,No,,300000,Nil,Less often,NA - No BWSSB supply,1450,1450 since 2022 May
Private water tankers,,1450,12000,560035,Apartments,Daily,300,237,No,,400000,0,No noticeable change,NA - No BWSSB supply,1450,Depending on supply and demand
"Private water tankers, Borewell, STP treated water",,600,5000,560035,Apartments,Daily,50,170,No,,50000,10,No noticeable change,NA - No BWSSB supply,500,Every 6 months
"Private water tankers, Borewell",,1500,12000,560035,Apartments,Only for Emergency,60,220,No,,500000,120,Not ordered private tankers in last 3 months,NA - No BWSSB supply,,Only require tanker during summer
"Private water tankers, Borewell, STP treated water",,1200,12000,560036,Apartments,Daily,100,135,Yes,,120000,10,No noticeable change,NA - No BWSSB supply,1175,Annually
Private water tankers,,1400,12000,560037,Apartments,Daily,135,135,No,,200000,3,No noticeable change,Reduced,1200,Annually
"Private water tankers, BWSSB/Municipal/Cauvery Water, Borewell",,1600,7000,560037,Apartments,Daily,34,128,Yes,,100000,No dry days,Not ordered private tankers in last 3 months,Reduced,800,"We dont know, we are using tanker service first time due to borewells dried"
"Private water tankers, BWSSB/Municipal/Cauvery Water, STP treated water",,1800,12000,560037,Apartments,Only for Emergency,60,579,No,,325000,Nill,More often,Reduced,1400,Whenever he sees the opportunity 
"Private water tankers, BWSSB/Municipal/Cauvery Water, Borewell, STP treated water",,1500,12000,560037,Apartments,Daily,120,300,No,,200000,10,More often,Reduced,1250,Annually
"Private water tankers, Borewell, STP treated water",,2000,12000,560037,Apartments,Daily,200,270,No,,400000,0,Not ordered private tankers in last 3 months,Reduced,1200,Every 6 months
"Private water tankers, BWSSB/Municipal/Cauvery Water, Borewell",,2500,12000,560037,Apartments,Only for Emergency,20,60,Yes,,50000,Yes,More often,Reduced,1200,
"Private water tankers, Borewell, STP treated water",,1200,7000,560043,Apartments,Daily,600,541,Yes,,400000,,More often,NA - No BWSSB supply,550,When the demand is high hike has no limits
"Private water tankers, Borewell",,1200,6000,560043,Individual Houses,Weekly,8,3,No,,10000,,Less often,NA - No BWSSB supply,500,Depends on demand 
Private water tankers,,1500,4000,560043,Apartments,Daily,15,6,No,,18000,Many,More often,NA - No BWSSB supply,400,Asband whennhe wants as he know its in demand
Private water tankers,,1000,5000,560043,Individual Houses,Weekly,3,15,No,,30000,0,More often,NA - No BWSSB supply,500,Annually
Private water tankers,,900,4000,560043,Individual Houses,Weekly,12,3 floor,No,,12000,Yes,More often,NA - No BWSSB supply,,Every quarter
Private water tankers,,1000,5000,560043,Individual Houses,Weekly,5,20,No,,100000,60,More often,NA - No BWSSB supply,400,Raised it twice in the past 4 months 
"Private water tankers, Borewell",,800,10000,560043,Apartments,Daily,200,65,Yes,,140000,,No noticeable change,NA - No BWSSB supply,650,Annually
"Private water tankers, Borewell",,600,5000,560045,Apartments,Daily,300,150,No,,180000,10,More often,NA - No BWSSB supply,350,Monthly now
"Private water tankers, STP treated water",,2000,11000,560048,Apartments,Daily,300,226,Yes,,550000,No,More often,Reduced,1300,Annually
"Private water tankers, BWSSB/Municipal/Cauvery Water, STP treated water",,2000,14000,560048,Apartments,Daily,40,173,No,,140000,2 days,More often,Reduced,1500,Annually
"Private water tankers, BWSSB/Municipal/Cauvery Water, Borewell",,1800,12000,560048,Apartments,Daily,90,108,No,,300000,,More often,Reduced,1200,
"Private water tankers, BWSSB/Municipal/Cauvery Water",,450,5000,560049,Apartments,Daily,345,170,No,,155250,Rare outages,Varies on the internal consumption,No change,400,Annually
"Private water tankers, BWSSB/Municipal/Cauvery Water, Borewell",,800,6000,560059,Apartments,Weekly,10,55,No,,25000,10,More often,Reduced,,Every 6 months
"Private water tankers, BWSSB/Municipal/Cauvery Water",,600,6000,560061,Apartments,Daily,1500,1131,No,,1000000,One,More often,Reduced,550,Annually
"Private water tankers, BWSSB/Municipal/Cauvery Water, Borewell, STP treated water",,1500,6000,560061,Apartments,Daily,750,1150,Yes,,800000,7,More often,Reduced,450,3 years
"Private water tankers, BWSSB/Municipal/Cauvery Water, Borewell, STP treated water",,510,6000,560061,Apartments,Daily,4,1119,No,,1250000,0,More often,New Connection,400,Annually
Private water tankers,,1500,6000,560061,Apartments,Only for Emergency,100,100,Yes,,300000,0,Less often,NA - No BWSSB supply,650,Demand based 
"Private water tankers, BWSSB/Municipal/Cauvery Water",,1200,6000,560061,Apartments,Only for Emergency,12,100,Yes,,16000,,More often,Reduced,400,When ever he wants 
"Private water tankers, BWSSB/Municipal/Cauvery Water",,2000,6000,560061,Individual Houses,Weekly,6,106,Yes,,1000000,10,More often,Reduced,500,Every quarter
"Private water tankers, BWSSB/Municipal/Cauvery Water, STP treated water",,1000,6000,560062,Apartments,Daily,120,64,No,,120000,,More often,Reduced,400,Demand based
"Private water tankers, BWSSB/Municipal/Cauvery Water",,1200,6000,560062,Individual Houses,Weekly,10,500,Yes,,900000,Nil,More often,Reduced,400,Every quarter
